pitcherName,pitchType,total_pitches,Whiff%,Strike%,Ball%,InPlay%,Command,Velo,Role,p_all,Usage%,Contact,Whiff%_z_raw,Whiff%_z_shrunk,Whiff%_z,Command_z_raw,Command_z_shrunk,Command_z,Strike%_z_raw,Strike%_z_shrunk,Strike%_z,Contact_z_raw,Contact_z_shrunk,Contact_z,Velo_z_raw,Velo_z_shrunk,Velo_z,Pitch_z,Pitch_z_std,PitchScore_20_80,RankEligible
伍祐城,CH,45.0,0.4,0.4444444444444444,0.5555555555555556,0.1111111111111111,-0.051426024009808446,132.62222222222223,Starter,745,0.06040268456375839,-0.1111111111111111,0.7946923011526387,0.14596389204844384,0.14596389204844384,-0.6744901756488795,-0.12388595062938604,-0.12388595062938604,-0.4505328296052288,-0.08275092788667468,-0.08275092788667468,0.5416820775217273,0.09949262648358256,0.09949262648358256,0.4820359199950166,0.08853720979500306,0.08853720979500306,0.020045109331889396,-0.2935667381543498,47.064332618456504,False
伍祐城,CU,52.0,0.21052631578947367,0.4807692307692308,0.5,0.19230769230769232,-0.08205078198851179,119.67307692307692,Starter,745,0.0697986577181208,-0.19230769230769232,-0.10605508304809391,-0.021884382216273347,-0.021884382216273347,-0.7649972532855094,-0.15785657607478765,-0.15785657607478765,-0.40451414297244753,-0.08347117235939393,-0.08347117235939393,-0.26871826161692997,-0.055449800016191896,-0.055449800016191896,-0.011451922027736886,-0.0023630950215965,-0.0023630950215965,-0.07127747266004614,-1.0245299378394181,39.75470062160582,False
伍祐城,FF,463.0,0.13917525773195877,0.5896328293736501,0.39740820734341253,0.16846652267818574,0.1896361098379204,144.07877461706784,Starter,745,0.6214765100671141,-0.16846652267818574,0.14124602768005456,0.09863787453373342,0.09863787453373342,0.07573870703285704,0.05289143492641449,0.05289143492641449,-0.4026027692304061,-0.2811539700658794,-0.2811539700658794,0.2466323589474978,0.17223345730421036,0.17223345730421036,0.46567440409865113,0.32519947073555877,0.32519947073555877,0.044938392747735194,-0.04926128669377629,49.50738713306224,True
伍祐城,SL,185.0,0.1728395061728395,0.6432432432432432,0.3567567567567568,0.1783783783783784,0.031077265591801462,129.72677595628414,Starter,745,0.2483221476510067,-0.1783783783783784,-0.5188157093402702,-0.24930105513753245,-0.24930105513753245,-0.4256532167200839,-0.20453466257978056,-0.20453466257978056,0.3160430205403724,0.15186482805186727,0.15186482805186727,0.16108325872803916,0.07740364380438246,0.07740364380438246,0.23735610816500918,0.11405423379357583,0.11405423379357583,-0.07253504662581647,-0.8829839422322775,41.17016057767722,True
伍鐸,CH,83.0,0.21951219512195122,0.6626506024096386,0.3253012048192771,0.1927710843373494,0.1914969514961884,127.23456790123457,Starter,2037,0.040746195385370644,-0.1927710843373494,-0.1626362513717708,-0.047698971250378,-0.047698971250378,0.5941745998772273,0.17426322187211965,0.17426322187211965,0.5164579662599654,0.15147000423878842,0.15147000423878842,0.06323827539419305,0.01854691469158312,0.01854691469158312,-0.5157154139528835,-0.15125222388017429,-0.15125222388017429,0.047206929756394234,-0.007392705263155359,49.926072947368446,False
伍鐸,CU,26.0,0.0,0.5,0.5,0.15384615384615385,0.19802362568152299,118.8076923076923,Starter,2037,0.012763868433971527,-0.15384615384615385,-1.1439208598901809,-0.13160151485462257,-0.13160151485462257,0.729775428435706,0.08395646521826705,0.08395646521826705,-0.30066321506143595,-0.0345895734141475,-0.0345895734141475,0.021100893284065503,0.0024275363955119605,0.0024275363955119605,-0.16318409949970675,-0.01877339197784237,-0.01877339197784237,-0.026922461573106946,-0.5608352792692552,44.39164720730745,False
伍鐸,FC,380.0,0.1443850267379679,0.6368421052631579,0.35789473684210527,0.23157894736842105,0.0749954143004572,131.11731843575419,Starter,2037,0.18654884634266078,-0.23157894736842105,-0.3879520890052592,-0.25417550658965254,-0.25417550658965254,-0.5205254176362865,-0.34103389431342906,-0.34103389431342906,0.13147752899213985,0.086140450029333,0.086140450029333,-0.35547439622734833,-0.23289701821791786,-0.23289701821791786,-1.0867545129145946,-0.7120115774268033,-0.7120115774268033,-0.25041874602475445,-2.274115146744144,27.25884853255856,True
伍鐸,FF,10.0,0.0,0.6,0.4,0.2,0.062935396776298,136.0,Starter,2037,0.004909180166912126,-0.2,-1.796904288360475,-0.08556687087430834,-0.08556687087430834,-1.1627635637459957,-0.05536969351171408,-0.05536969351171408,-0.2980766990353402,-0.014194128525492388,-0.014194128525492388,-0.05864775754831945,-0.002792750359443783,-0.002792750359443783,-1.504256204876454,-0.07163124785125971,-0.07163124785125971,-0.049933347684362035,-0.48326526033933864,45.167347396606615,False
伍鐸,SI,1138.0,0.07930367504835589,0.640597539543058,0.3523725834797891,0.2565905096660808,0.17373537657027333,137.0903165735568,Starter,2037,0.5586647029945999,-0.2565905096660808,-0.21312312198146444,-0.18126615307541596,-0.18126615307541596,-0.10446756039796806,-0.08885208051785326,-0.08885208051785326,0.028498234126065138,0.024238408397206375,0.024238408397206375,-0.04336305840333306,-0.036881285846781034,-0.036881285846781034,-0.6311717501565679,-0.5368261970688897,-0.5368261970688897,-0.13095999695655294,-1.3859166882261806,36.1408331177382,True
伍鐸,SL,400.0,0.2611111111111111,0.5775,0.42,0.175,-0.006955400426101654,124.83023872679045,Starter,2037,0.19636720667648502,-0.175,0.06023756101263335,0.04015837400842223,0.04015837400842223,-0.7405010629637127,-0.49366737530914173,-0.49366737530914173,-0.12614959533506404,-0.08409973022337602,-0.08409973022337602,0.18590802579782426,0.12393868386521617,0.12393868386521617,-0.7551374228490899,-0.5034249485660599,-0.5034249485660599,-0.15994096994625756,-1.6227717285568912,33.772282714431086,True
