pitcherName,WeightedScore_z,TotalPitches,Role,Overall_20_80
象魔力,-0.15334015623192845,88,Starter,47.155365984206234
黃恩賜,-0.1669141884337397,314,Reliever,46.99883723642625
舒治浩,-0.17143770684983317,157,Reliever,46.94667435197867
林佳緯,-0.17631921121422992,7,Reliever,46.89038335796293
江國謙,-0.1900318949260029,85,Reliever,46.73225575238525
李吳永勤,-0.19551652809568298,183,Reliever,46.6690097876403
鈴木駿輔,-0.22436484692800224,862,Starter,46.33634583375796
道鉑戈,-0.23081150057781338,87,Starter,46.26200634434364
潘威倫,-0.23446514438924862,444,Starter,46.21987440579102
黃群,-0.24657766643971876,795,Reliever,46.08019904029685
林華偉,-0.2598165076309063,43,Reliever,45.92753554260468
森榮鴻,-0.2634479132347671,32,Reliever,45.88566004360758
布里悍,-0.26605606924555747,513,Starter,45.85558413187301
肯特,-0.2738414633389811,2012,Starter,45.765806977207454
江國豪,-0.2847480157708256,2141,Starter,45.64003823219699
吳哲源,-0.29044740464568264,569,Starter,45.574315815274076
許峻暘,-0.2934943171673377,610,Reliever,45.53918038944635
盧冠宇,-0.2990632518324826,38,Reliever,45.47496230327684
郭俞延,-0.31143801287215594,391,Starter,45.33226293283052
楊彬,-0.3133982930619179,556,Starter,45.309657991362904
林暉盛,-0.32365274921046455,101,Reliever,45.19140888481647
陳品宏,-0.33097550255257624,22,Reliever,45.10696666500285
劉家愷,-0.337751906944568,36,Reliever,45.02882465987429
伍祐城,-0.339122234948705,745,Starter,45.01302274314487
黃弘毅,-0.35743288157591124,13,Reliever,44.801873797497315
鄭凱文,-0.3880572124759778,1441,Starter,44.44872978721954
羅國華,-0.3978533852224543,34,Reliever,44.335765368817924
劉家翔,-0.3990401904726326,78,Starter,44.322079741960174
官大元,-0.40342048265254493,109,Reliever,44.271568468696756
李嘉祥,-0.4101193670698779,17,Reliever,44.19432038398777
温展樂,-0.4161708050970449,11,Reliever,44.12453831757023
王奕凱,-0.4166629048001936,71,Reliever,44.118863677259114
陳冠豪,-0.4208556110348112,91,Reliever,44.07051554849701
盧孟揚,-0.4250549256107298,404,Starter,44.02209121574679
莊玉彬,-0.4485744642980771,65,Reliever,43.750876009803626
張景淯,-0.44905592428815616,368,Starter,43.74532406118344
鄭鈞仁,-0.4827842981145627,17,Reliever,43.35638582667725
洪敏暘,-0.4895638099455814,32,Reliever,43.27820798816237
李建勳,-0.49004760183358836,341,Reliever,43.272629149296364
江忠城,-0.49122685770235036,167,Reliever,43.25903057801665
張梓軒,-0.49437046305783416,58,Reliever,43.22278014023276
黃竣彥,-0.5013181382849816,370,Reliever,43.14266312804958
賴鴻誠,-0.5069248449281233,737,Reliever,43.07800947488499
彭識穎,-0.5150053528480975,204,Reliever,42.984829219575815
陳克羿,-0.5200089142981692,1748,Starter,42.92713072611597
陳正毅,-0.5296164059948697,162,Reliever,42.8163420803965
李振昌,-0.5499348720776619,755,Reliever,42.58203999495389
傅于剛,-0.5559862596223719,131,Reliever,42.512258510674044
陳柏清,-0.5726510061150362,1644,Starter,42.320089237624906
道博格,-0.5763719028852388,41,Starter,42.27718177259173
姚杰宏,-0.5938670767466578,431,Starter,42.075436438854005
賴知頎,-0.5940053438780464,104,Reliever,42.07384201351203
吳俊杰,-0.5987428838372134,961,Starter,42.019211142865714
李其峰,-0.6014636784116083,598,Reliever,41.98783634123236
葉家淇,-0.6159862230745089,36,Reliever,41.82036983630102
笠原祥太郎,-0.6235488002036358,317,Starter,41.73316209210149
巫柏葳,-0.6357162136491628,545,Reliever,41.59285374731242
李超,-0.6517748984689687,340,Reliever,41.40767326531074
邱駿威,-0.6617236955913923,739,Starter,41.29294886121788
劉軒荅,-0.6658337192277,664,Reliever,41.2455541855922
